subject	relation	object	time_step	date
Jew (United Kingdom)	Praise or endorse	Jeremy Corbyn	2112	2018-03-30
Xi Jinping	Make empathetic comment	Indonesia	3240	2018-05-16
Citizen (Australia)	Reject	Businessperson (Australia)	2856	2018-04-30
Kim Jong-Un	Consult	Head of Government (United States)	2664	2018-04-22
Citizen (United Kingdom)	Demonstrate or rally	Unspecified Actor	1944	2018-03-23
Foreign Affairs (Iran)	Express intent to meet or negotiate	Kazakhstan	1728	2018-03-14
North Korea	Consult	Mike Pompeo	3600	2018-05-31
Foreign Affairs (North Korea)	Make a visit	Russia	2352	2018-04-09
Turkey	Host a visit	Tamim bin Hamad Al Thani	5424	2018-08-15
South Korea	Arrest, detain, or charge with legal action	Citizen (South Korea)	4056	2018-06-19
Taiwan	Praise or endorse	Congress (United States)	4920	2018-07-25
Men (India)	Conduct hunger strike	Unspecified Actor	3048	2018-05-08
Ali Akbar Velayati	Consult	Russia	4584	2018-07-11
India	Make pessimistic comment	Citizen (India)	840	2018-02-05
Mexico	Host a visit	Andrej Kiska	72	2018-01-04
Seoul Central District Court	Arrest, detain, or charge with legal action	Citizen (South Korea)	3960	2018-06-15
City Mayor (Japan)	Appeal for diplomatic cooperation (such as policy support)	Citizen (Japan)	5280	2018-08-09
Jammu-Kashmir Liberation Front	Accuse	Police (India)	2832	2018-04-29
TAMIL NADU Police	Arrest, detain, or charge with legal action	Women (India)	4392	2018-07-03
Devendra Fadnavis	Consult	Bharatiya Janata	5112	2018-08-02
Benjamin Netanyahu	Make statement	Israel	4656	2018-07-14
Narendra Modi	Express intent to meet or negotiate	Cyril Ramaphosa	4800	2018-07-20
Government Official (Pakistan)	Praise or endorse	Malala Yousafzai	2208	2018-04-03
Andrej Plenkovic	Demand	Political Parties (Croatia)	2304	2018-04-07
Governor (Belize)	Praise or endorse	Elizabeth II	5496	2018-08-18
Vladimir Putin	Make a visit	Japan	888	2018-02-07
Citizen (Armenia)	Express intent to meet or negotiate	Armenia	3720	2018-06-05
Manish Sisodia	Accuse	Bharatiya Janata	552	2018-01-24
Amit Shah	Express intent to meet or negotiate	Scholar (Bangladesh)	2568	2018-04-18
Czech Republic	Engage in judicial cooperation	Russia	2136	2018-03-31
Lawyer/Attorney (Australia)	Make statement	Police (Australia)	5064	2018-07-31
Hassan Rouhani	Criticize or denounce	France	2496	2018-04-15
Recep Tayyip Erdoğan	Criticize or denounce	United States	2136	2018-03-31
Rights Activist (Philippines)	Criticize or denounce	Rodrigo Duterte	2040	2018-03-27
Bakri Hasan Salih	Express intent to meet or negotiate	United Kingdom	5208	2018-08-06
Cabinet / Council of Ministers / Advisors (India)	Consult	Rajnath Singh	5736	2018-08-28
Mamata Banerjee	Make statement	Kailash Vijayvargiya	5160	2018-08-04
Citizen (Brazil)	Defy norms, law	Federal Judge (Brazil)	2328	2018-04-08
Petro Poroshenko	Make an appeal or request	European Union	1512	2018-03-05
Militant (India)	Use unconventional violence	India	1200	2018-02-20
Leo Varadkar	Reject material cooperation	Sinn Féin	4032	2018-06-18
Company - Owner or Operator (Tanzania)	Accuse	Ministry (Tanzania)	1872	2018-03-20
Armed Band (Afghanistan)	fight with small arms and light weapons	Citizen (Afghanistan)	504	2018-01-22
Russia	Engage in diplomatic cooperation	United States	4728	2018-07-17
Citizen (Chile)	Make a visit	Uruguay	3072	2018-05-09
Hassan Rouhani	Make statement	North Korea	5256	2018-08-08
Business (Russia)	Impose embargo, boycott, or sanctions	Citizen (Russia)	2448	2018-04-13
Military Personnel (Lithuania)	Make a visit	United States	5448	2018-08-16
Government (Somalia)	Provide humanitarian aid	Libya	1128	2018-02-17
Government (Slovenia)	Express intent to meet or negotiate	Labor Union (Slovenia)	240	2018-01-11
Mahmoud Abbas	Reject	Donald Trump	5208	2018-08-06
Men (India)	Use unconventional violence	Police (India)	3840	2018-06-10
Media Personnel (Somalia)	Make statement	Military Personnel - Special (Somalia)	2280	2018-04-06
Italy	Reduce or break diplomatic relations	Foreign Affairs (Russia)	2016	2018-03-26
Spain	Praise or endorse	Quim Torra	3216	2018-05-15
Kim Jong-Un	Return, release person(s)	Citizen (United States)	3096	2018-05-10
Xi Jinping	Express intent to engage in diplomatic cooperation (such as policy support)	Shinzo Abe	2952	2018-05-04
Dmitry Peskov	Make statement	Gennady Andreyevich Zyuganov	336	2018-01-15
Viorica Dăncilă	Praise or endorse	Corina Creţu	4584	2018-07-11
Media Personnel (Japan)	Consult	China	5736	2018-08-28
United Nations	Make pessimistic comment	Syria	4464	2018-07-06
Government (Australia)	Accuse	Liberal National Party	1512	2018-03-05
Police (Armenia)	Arrest, detain, or charge with legal action	Citizen (Armenia)	2616	2018-04-20
Japan	Praise or endorse	Kim Jong-Un	1752	2018-03-15
Kim Jong-Un	Sign formal agreement	Donald Trump	5520	2018-08-19
Lee Teng Hui	Make statement	China	4152	2018-06-23
Government (India)	Make pessimistic comment	India	5040	2018-07-30
Canada	Arrest, detain, or charge with legal action	Citizen (Canada)	3672	2018-06-03
Harry Roque	Make statement	Rodrigo Duterte	5376	2018-08-13
Main Opposition (India)	Accuse	Communist Party of India (Marxist)	2712	2018-04-24
Ministry (India)	Make statement	Bharatiya Janata	2328	2018-04-08
Police (Nigeria)	Arrest, detain, or charge with legal action	Criminal (Nigeria)	1368	2018-02-27
Venezuela	Accuse	Colombia	5232	2018-08-07
Business (China)	Express intent to cooperate economically	Industry (China)	4368	2018-07-02
Russia	Express intent to meet or negotiate	Iran	1440	2018-03-02
Peter Beattie	Praise or endorse	Indigenous People (Australia)	2280	2018-04-06
Protester (Greece)	Protest violently, riot	Police (Greece)	816	2018-02-04
Citizen (Malawi)	Accuse	Arthur Peter Mutharika	3624	2018-06-01
Farm Worker (India)	Make statement	India	1032	2018-02-13
Emomalii Rahmon	Consult	United Nations	2016	2018-03-26
Andrés Manuel López Obrador	Praise or endorse	Donald Trump	4392	2018-07-03
Saad Hariri	Consult	Mohammed bin Salman	1464	2018-03-03
Member of Parliament (Kenya)	Accuse	Police (Kenya)	5448	2018-08-16
Government (Australia)	Make pessimistic comment	Combatant (International)	2568	2018-04-18
Attahiru Dalhatu Bafarawa	Make statement	Oluṣẹgun Ọbasanjọ	5208	2018-08-06
Pavlo Klimkin	Praise or endorse	Angelino Alfano	744	2018-02-01
Muhammadu Buhari	Make empathetic comment	Citizen (Nigeria)	1752	2018-03-15
Domestic Affairs (Peru)	Make statement	Mob (Peru)	2712	2018-04-24
Southeast Asia	Make a visit	Australia	1752	2018-03-15
Head of Government (India)	Express intent to meet or negotiate	Citizen (India)	2376	2018-04-10
Andrew Mark Cuomo	Reduce or break diplomatic relations	Israel	3216	2018-05-15
Military (India)	Use conventional military force	India	2544	2018-04-17
Turkey	Engage in symbolic act	Sergey Viktorovich Lavrov	2808	2018-04-28
Member of Parliament (Poland)	Consult	European Union	2040	2018-03-27
Information / Communication / Transparency Ministry (Bangladesh)	Make statement	Cabinet / Council of Ministers / Advisors (Bangladesh)	4584	2018-07-11
K.P. Sharma Oli	Express intent to meet or negotiate	India	2280	2018-04-06
Protester (Venezuela)	Demonstrate or rally	Nicolás Maduro	3576	2018-05-30
Nikki Haley	Make statement	UN Security Council	960	2018-02-10
Raimonds Vejonis	Consult	Albert II	3624	2018-06-01
Police (India)	Complain officially	Citizen (India)	456	2018-01-20
Association of Southeast Asian Nations	Praise or endorse	Iran	5016	2018-07-29
Pakistan	Demand economic aid	China	4584	2018-07-11
Uzbekistan	Engage in diplomatic cooperation	Japan	4560	2018-07-10
Ministry (Zimbabwe)	Make an appeal or request	Citizen (Zimbabwe)	4896	2018-07-24
Israel	Sign formal agreement	South Korea	600	2018-01-26
Poland	Make statement	United States	1560	2018-03-07
Police (Bangladesh)	Make statement	Murderer (Bangladesh)	3864	2018-06-11
Police (Indonesia)	Make statement	Attacker (Indonesia)	984	2018-02-11
Sonia Ghandi	Make statement	Atal Bihari Vajpayee	5448	2018-08-16
Middle East	Host a visit	Shinzo Abe	2904	2018-05-02
Japan	Make an appeal or request	World Trade Organization	4104	2018-06-21
Citizen (Palestinian Territory, Occupied)	Demonstrate or rally	Israel	2304	2018-04-07
Carles Puigdemont	Praise or endorse	Quim Torra	3168	2018-05-13
Citizen (Africa)	Criticize or denounce	Haiti	480	2018-01-21
Mahmoud Abbas	Make an appeal or request	United Nations	1224	2018-02-21
Vietnam	Express intent to engage in diplomatic cooperation (such as policy support)	Association of Southeast Asian Nations	1104	2018-02-16
Sierra Leone	Arrest, detain, or charge with legal action	Citizen (Sierra Leone)	1584	2018-03-08
Health Ministry (United Kingdom)	Make statement	Scottish Government	2616	2018-04-20
Viorica Dăncilă	Make an appeal or request	Pope Francis	3120	2018-05-11
Labor Union (Australia)	Make statement	Employee (Australia)	4464	2018-07-06
Jean-Yves Le Drian	Consult	Joao Lourenco	3528	2018-05-28
United States	Criticize or denounce	North Korea	1152	2018-02-18
Russia	Discuss by telephone	Vladimir Putin	2424	2018-04-12
Rights Activist (Iran)	Demonstrate or rally	Unspecified Actor	1440	2018-03-02
Citizen (India)	Consult	Other Authorities / Officials (India)	672	2018-01-29
World Health Organization	Reject	Taiwan	3768	2018-06-07
Party Member (Uganda)	Use conventional military force	Citizen (Uganda)	2544	2018-04-17
Police (Philippines)	Make statement	Criminal (Philippines)	4968	2018-07-27
Egypt	Investigate	Palestinian Territory, Occupied	1416	2018-03-01
Head of Government (India)	Make statement	Party Member (India)	2424	2018-04-12
Africa	Host a visit	China	5016	2018-07-29
Turkey	Occupy territory	Citizen (Syria)	504	2018-01-22
Indigenous People (Lithuania)	Sign formal agreement	Government (Lithuania)	48	2018-01-03
Mateusz Morawiecki	Consult	Viorica Dăncilă	3456	2018-05-25
Foreign Affairs (Georgia)	Reduce or break diplomatic relations	Russia	2112	2018-03-30
Ministry (India)	Engage in negotiation	Ashoka Road	1656	2018-03-11
Israeli Defense Forces	Consult	High Ranking Military Personnel (Israel)	1344	2018-02-26
Chile	Sign formal agreement	Colombia	4512	2018-07-08
Ma Ying Jeou	Make statement	Chen Shui Bian	1272	2018-02-23
Citizen (Singapore)	Make an appeal or request	Business (Singapore)	3768	2018-06-07
Nepal	Host a visit	Ministry (India)	720	2018-01-31
Hassan Rouhani	Make a visit	India	1056	2018-02-14
Oversight Court (Indonesia)	Arrest, detain, or charge with legal action	Children (Indonesia)	4848	2018-07-22
Maithripala Sirisena	Make statement	United Nations Human Rights Council	3312	2018-05-19
Mevlut Cavusoglu	Consult	Mike Pompeo	4992	2018-07-28
Lawyer/Attorney (Venezuela)	Make statement	Other Authorities / Officials (Venezuela)	3264	2018-05-17
Robert Mueller	Investigate	Russia	3072	2018-05-09
Jacek Czaputowicz	Praise or endorse	European Commission	3264	2018-05-17
Xi Jinping	Host a visit	Kim Jong-Un	3696	2018-06-04
North Korea	Arrest, detain, or charge with legal action	Citizen (United States)	2904	2018-05-02
Citizen (Russia)	Engage in symbolic act	India	48	2018-01-03
Holy See (Vatican City State)	Express intent to meet or negotiate	Peru	360	2018-01-16
Government (Australia)	Make statement	Criminal (Australia)	4128	2018-06-22
Health Ministry (Thailand)	Use conventional military force	Thailand	1584	2018-03-08
South Korea	Express intent to meet or negotiate	Citizen (South Korea)	2832	2018-04-29
Sushma Swaraj	Consult	Vivian Balakrishnan	168	2018-01-08
Citizen (France)	Express intent to provide humanitarian aid	France	2472	2018-04-14
Member of Parliament (India)	Demand	Government (India)	4104	2018-06-21
Pakistan	Make an appeal or request	Nepal	1536	2018-03-06
Citizen (Qatar)	Make an appeal or request	United Nations	192	2018-01-09
Nigeria Police Force	Arrest, detain, or charge with legal action	Media Personnel (Nigeria)	5424	2018-08-15
Domestic Affairs (Zambia)	Consult	Davies Chama	48	2018-01-03
Donald Trump	Make a visit	European Commission	4944	2018-07-26
India	Host a visit	Marine Corp (United States)	1920	2018-03-22
Muhammadu Buhari	Make statement	Nigeria	1776	2018-03-16
Citizen (Ethiopia)	Engage in diplomatic cooperation	Main Opposition (Ethiopia)	5592	2018-08-22
Antonio Tajani	Make statement	Daphne Caruana Galizia	2616	2018-04-20
Vladimir Putin	Make a visit	Turkmenistan	2400	2018-04-11
Head of Government (India)	Make a visit	Palestinian Territory, Occupied	1032	2018-02-13
Senegal	Host a visit	Emmanuel Macron	840	2018-02-05
Ri Yong-ho	Engage in negotiation	Foreign Affairs (China)	2904	2018-05-02
Ministry (Australia)	Criticize or denounce	Education (Australia)	3888	2018-06-12
Nitish Kumar	Criticize or denounce	Ministry (India)	4608	2018-07-12
Brazil	Host a visit	Mohammad Javad Zarif	2376	2018-04-10
United States	Make statement	South Korea	1344	2018-02-26
Sergei Ryabkov	Make optimistic comment	Citizen (United States)	552	2018-01-24
Cabinet / Council of Ministers / Advisors (India)	Make statement	Government (India)	408	2018-01-18
Andrej Babis	Make statement	European Union	2304	2018-04-07
Zhu Guangyao	Make statement	China	2256	2018-04-05
Head of Government (Bulgaria)	Consult	Petro Poroshenko	3504	2018-05-27
Citizen (India)	Express intent to meet or negotiate	Navjot Singh Sidhu	4032	2018-06-18
Citizen (Nigeria)	Occupy territory	Military (Nigeria)	4704	2018-07-16
Council of Europe	Consult	Representatives (Poland)	4056	2018-06-19
Citizen (Iraq)	Use unconventional violence	Military Personnel - Special (Iraq)	2568	2018-04-18
Citizen (United States)	Make pessimistic comment	Ahmed Ouyahia	3312	2018-05-19
Nirmala Sitharaman	Express intent to meet or negotiate	Wei Fenghe	5520	2018-08-19
Afghanistan	Consult	North Atlantic Treaty Organization	1080	2018-02-15
Angela Merkel	Express intent to meet or negotiate	Executive Office of the President	2616	2018-04-20
Government (Argentina)	Sign formal agreement	International Monetary Fund	3768	2018-06-07
United States	Host a visit	Head of Government (France)	2736	2018-04-25
India	Make statement	Central Bureau of Investigation	1512	2018-03-05
Citizen (India)	Criticize or denounce	Police (India)	1320	2018-02-25
Citizen (United States)	Accuse	Ruth Kelly	3072	2018-05-09
Education Ministry (India)	Engage in diplomatic cooperation	Education (India)	192	2018-01-09
Donald Trump	Express intent to engage in diplomatic cooperation (such as policy support)	Moon Jae-in	1776	2018-03-16
Lawyer/Attorney (Panama)	Decline comment	Associated Press	1752	2018-03-15
Federal Intelligence Service	Appeal for economic aid	Legislature (Germany)	1056	2018-02-14
Combatant (Taliban)	Occupy territory	Afghanistan	1680	2018-03-12
Party President (India)	Consult	Mehbooba Mufti	4632	2018-07-13
Arvind Kejriwal	Conduct hunger strike	Unspecified Actor	3912	2018-06-13
Landless Workers' Movement	Make statement	Raul Jungmann	1368	2018-02-27
Boris Johnson	Make an appeal or request	Russia	1008	2018-02-12
Cabinet / Council of Ministers / Advisors (India)	Accuse	Rahul Gandhi	2760	2018-04-26
Mamata Banerjee	Make statement	Bharatiya Janata	5736	2018-08-28
Mark Carney	Demand	European Union	5160	2018-08-04
Opposition Supporter (India)	Accuse of crime, corruption	Government (India)	336	2018-01-15
Philippines	Express intent to cooperate	South Korea	2856	2018-04-30
Armed Gang (Afghanistan)	Use unconventional violence	Military Personnel - Special (Afghanistan)	5064	2018-07-31
Israel	Criticize or denounce	United Nations Human Rights Council	1992	2018-03-25
India	Accuse	Congress (India)	4152	2018-06-23
Envoy (Syria)	Make a visit	Benjamin Netanyahu	4896	2018-07-24
Party President (India)	Consult	Party President (Congress Party)	408	2018-01-18
Police (India)	Make statement	Criminal (South Africa)	4656	2018-07-14
Lawmaker (India)	Criticize or denounce	Member of the Judiciary (India)	408	2018-01-18
M.K. Stalin	Appeal for economic aid	Citizen (India)	5256	2018-08-08
European Union	Criticize or denounce	Turkey	888	2018-02-07
Jovenel Moïse	Make statement	Jean-Henry Ceant	5184	2018-08-05
Congress (India)	Accuse	Governor (India)	192	2018-01-09
Lee Nak-yeon	Consult	Ministry (South Korea)	408	2018-01-18
António Manuel de Oliveira Guterres	Praise or endorse	South Korea	5544	2018-08-20
Palestinian Territory, Occupied	Make statement	United States	936	2018-02-09
Allied Democratic Forces	Accuse	Government (Uganda)	3192	2018-05-14
Philippine National Police	Make statement	Criminal (Philippines)	3408	2018-05-23
Citizen (Holy See (Vatican City State))	Deny responsibility	Australia	2880	2018-05-01
Foreign Affairs (United States)	Make a visit	Peru	1008	2018-02-12
Head of Government (Italy)	Express intent to meet or negotiate	Executive Office of the President	4272	2018-06-28
China	Consult	India	1944	2018-03-23
Ministry (Iran)	Make statement	Iran	3648	2018-06-02
Governor (Brazil)	Make an appeal or request	Geraldo Alckmin	5664	2018-08-25
Pratapsingh Rane	Make statement	Government (India)	1224	2018-02-21
Police (India)	Arrest, detain, or charge with legal action	Women (India)	1608	2018-03-09
Professor (India)	Express intent to meet or negotiate	India	5592	2018-08-22
Yogi Adityanath	Make statement	Government (India)	5496	2018-08-18
